iter,cfi,t_s
560,11.915787361965315,1.3451323611330242e-06
561,11.915797866722546,1.3451323611330242e-06
562,11.91580656577327,1.3450048817802794e-06
563,11.916076062167434,1.3450048817802794e-06
564,11.916220995436387,1.3447963820464507e-06
565,11.916220995436397,1.3447963820464507e-06
566,11.916264843214282,1.3447963820464507e-06
567,11.916264843214286,1.3447963820464507e-06
568,11.916302380657031,1.3447963820464507e-06
569,11.916321766186336,1.3446679937405872e-06
570,11.916321766186357,1.3446679937405872e-06
571,11.916329223539488,1.3446679937405872e-06
572,11.916367568757025,1.3446679937405872e-06
573,11.916759054432017,1.3443697579132066e-06
574,11.916761532612325,1.3443697579132066e-06
575,11.91683498125731,1.3443697579132066e-06
576,11.916842468068745,1.3442422521717187e-06
577,11.916842468068772,1.3442422521717187e-06
578,11.916876667915215,1.3442422521717187e-06
579,11.916886341980558,1.3442422521717187e-06
580,11.916969527004856,1.3442422521717187e-06
581,11.916970889195877,1.3442233424381858e-06
582,11.916970889195888,1.3442233424381858e-06
583,11.916976685727356,1.3442233424381858e-06
584,11.91698038100608,1.3442233424381858e-06
585,11.91715261964497,1.3442233424381858e-06
586,11.917236029433353,1.3440886908247327e-06
587,11.917292704844787,1.3440886908247327e-06
588,11.91732388205741,1.3440886908247327e-06
589,11.91734962914256,1.3439592517221636e-06
590,11.917349629142569,1.3439592517221636e-06
591,11.91734962914257,1.3439592517221636e-06
592,11.917350137899513,1.3439592517221636e-06
593,11.917350137899518,1.3439592517221636e-06
594,11.917350294267731,1.3439592517221636e-06
595,11.917381340068747,1.3439592517221636e-06
596,11.91738389929655,1.3439592517221636e-06
597,11.917385101566381,1.34394036025498e-06
598,11.917440408595347,1.34394036025498e-06
599,11.917560055368702,1.3437775366721892e-06
600,11.91763939979042,1.3437775366721892e-06
601,11.91765264710163,1.3437239412968178e-06
602,11.917663493156397,1.3437239412968178e-06
603,11.917663493156404,1.3437239412968178e-06
604,11.917663493156416,1.3437239412968178e-06
605,11.917705927132893,1.3437239412968178e-06
606,11.917719084928281,1.3436703574304546e-06
607,11.917738256013866,1.3436703574304546e-06
608,11.91773825601387,1.3436703574304546e-06
609,11.917752585148083,1.3436703574304546e-06
610,11.917760918653082,1.3436703574304546e-06
611,11.917761292142853,1.3436617956079744e-06
612,11.917849630215148,1.3436617956079744e-06
613,11.918004303271658,1.3434527109508831e-06
614,11.918004303271672,1.3434527109508831e-06
615,11.9180582370442,1.3434527109508831e-06
616,11.918140315986378,1.3433191039597225e-06
617,11.918332602948256,1.3433191039597225e-06
618,11.918457287872334,1.3431122952996677e-06
619,11.918457287872368,1.3431122952996677e-06
620,11.918468055748868,1.3431122952996677e-06
621,11.918468055748871,1.3431122952996677e-06
622,11.918502035936253,1.3431122952996677e-06
623,11.918505086308713,1.3430862506892123e-06
624,11.918505086308716,1.3430862506892123e-06
625,11.91852560703105,1.3430862506892123e-06
626,11.918526469942945,1.3430709817943096e-06
627,11.91852646994295,1.3430709817943096e-06
628,11.918534320421006,1.3430709817943096e-06
629,11.91855904648834,1.3430709817943096e-06
630,11.91855949337134,1.3430709817943096e-06
631,11.918606406276703,1.3430709817943096e-06
632,11.918624320747568,1.342942775598993e-06
633,11.918624320747572,1.342942775598993e-06
634,11.918631080663811,1.342942775598993e-06
635,11.91874687044138,1.342942775598993e-06
636,11.918747491803655,1.3429293483740064e-06
637,11.91881815345236,1.3429293483740064e-06
